Breed,Color,DogName,OwnerZip
COCKAPOO,BROWN,CHARLEY,15236.0
GER SHEPHERD,BLACK/BROWN,TACODA,15238.0
BELG MALINOIS,BRINDLE,EICH,15238.0
MIXED,BLACK/BROWN,ARROW,15104.0
AM PIT BULL TERRIER,WHITE/BROWN,OAKLEY,15139.0
SCOTTISH TERRIER,BLACK,BAILEY,15129.0
YORKSHIRE TERRIER,BLACK/TAN,MIMI PEARL FOSTER,15090.0
DACHSHUND MIX,WHITE/BROWN,LEROI,15101.0
SHETLAND SHEEPDOG,WHITE/BROWN,ZOE VITSAS,15238.0
LABRADOR RETRIEVER,YELLOW,TAFFY,15228.0
BICHON FRISE,WHITE,DUDE,15238.0
LHASA APSO MIX,WHITE/BROWN,CHICKIE,15238.0
AM PITT BULL MIX,BROWN,KING,15235.0
AM PITT BULL MIX,WHITE,EMILY,15108.0
BRITTANY SPANIEL,WHITE/BROWN,ELLIE,15228.0
MIXED,WHITE,RUSTY,15120.0
TERRIER MIX,SPOTTED,ANNIE,15239.0
COCKER SPANIEL,BLONDE,JUILET,
COCKER SPANIEL,BLACK,ROMEO,15214.0
